Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78130-78346,G,Si Woo,Si Woo Kim,Kim,57.8521728515625,23,8300,,,,,,,,,G
78130-78552,G,Keith,Keith Mitchell,Mitchell,67.30499877929688,20,8300,,,,,,,,,G
78130-78579,G,Sebastian,Sebastian Munoz,Munoz,59.04500122070313,20,8300,,,,,,,,,G
78130-78588,G,Kevin,Kevin Na,Na,59.23333231608073,12,8300,,,,,,,,,G
78130-77903,G,Dean,Dean Burmester,Burmester,31.950000762939453,4,8200,,,,,,,,,G
78130-78451,G,Luke,Luke List,List,52.85651961616848,23,8200,,,,,,,,,G
78130-78547,G,Phil,Phil Mickelson,Mickelson,47.92000122070313,5,8200,,,,,,,,,G
78130-78050,G,Harris,Harris English,English,56.29000244140625,10,8200,,,,,,,,,G
78130-78154,G,Emiliano,Emiliano Grillo,Grillo,53.16086744225544,23,8100,,,,,,,,,G
78130-78419,G,Kyoung-Hoon,Kyoung-Hoon Lee,Lee,58.87391198199728,23,8100,,,,,,,,,G
78130-78931,G,Erik,Erik Van Rooyen,Van Rooyen,46.96875,16,8100,,,,O,Neck,,,,G
78130-78980,G,Bernd,Bernd Wiesberger,Wiesberger,60.349998474121094,2,8100,,,,,,,,,G
78130-78691,G,Ian,Ian Poulter,Poulter,47.5923086313101,13,8000,,,,,,,,,G
78130-77951,G,Stewart,Stewart Cink,Cink,48.22999877929688,20,8000,,,,,,,,,G
78130-78225,G,Tom,Tom Hoge,Hoge,56.687998046875,25,8000,,,,,,,,,G
78130-80579,G,Sepp,Sepp Straka,Straka,47.807998046875,25,8000,,,,,,,,,G
78130-78355,G,Chris,Chris Kirk,Kirk,61.225,20,7900,,,,,,,,,G
78130-77865,G,Richard,Richard Bland,Bland,31.950000762939453,4,7900,,,,,,,,,G
78130-78913,G,Cameron,Cameron Tringale,Tringale,61.28181596235795,22,7900,,,,,,,,,G
78130-78234,G,Sam,Sam Horsfield,Horsfield,11.649999618530273,2,7900,,,,,,,,,G
78130-78101,G,Dylan,Dylan Frittelli,Frittelli,52.57500203450521,24,7800,,,,,,,,,G
78130-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,15.760000610351563,5,7800,,,,,,,,,G
78130-107350,G,Brandon,Brandon Wu,Wu,50.38095238095238,21,7800,,,,,,,,,G
78130-78011,G,Thomas,Thomas Detry,Detry,78.92500305175781,4,7800,,,,,,,,,G
78130-78847,G,Henrik,Henrik Stenson,Stenson,36.5,12,7800,,,,,,,,,G
78130-78184,G,Justin,Justin Harding,Harding,37.45000076293945,2,7700,,,,,,,,,G
78130-78243,G,Mackenzie,Mackenzie Hughes,Hughes,51.857142857142854,21,7700,,,,,,,,,G
78130-78291,G,Zach,Zach Johnson,Johnson,39.07999877929687,20,7700,,,,,,,,,G
78130-77815,G,Marcus,Marcus Armitage,Armitage,41,1,7700,,,,,,,,,G
78130-78401,G,Pablo,Pablo Larrazabal,Larrazabal,-1.7999999523162842,1,7600,,,,,,,,,G
78130-171878,G,Matthew,Matthew Jordan,Jordan,41.900001525878906,1,7600,,,,,,,,,G
78130-137069,G,Joohyung,Joohyung Kim,Kim,64.1,5,7600,,,,,,,,,G
78130-78817,G,Jordan L.,Jordan L. Smith,Smith,55.900001525878906,1,7600,,,,,,,,,G
78130-78576,G,Trey,Trey Mullinax,Mullinax,50.12608801800272,23,7600,,,,,,,,,G
78130-78603,G,Shaun,Shaun Norris,Norris,34.224998474121094,4,7500,,,,,,,,,G
78130-101395,G,John,John Catlin,Catlin,10.199999809265137,1,7500,,,,,,,,,G
78130-171571,G,Thriston,Thriston Lawrence,Lawrence,55.70000076293945,1,7500,,,,,,,,,G
78130-80464,G,Adri,Adri Arnaus,Arnaus,35.43333435058594,3,7500,,,,,,,,,G
78130-78021,G,Jamie,Jamie Donaldson,Donaldson,64.80000305175781,1,7500,,,,,,,,,G
78130-151390,G,Garrick,Garrick Higgo,Higgo,38.376472024356616,17,7400,,,,,,,,,G
78130-152964,G,Guido,Guido Migliozzi,Migliozzi,31.583333333333332,6,7400,,,,,,,,,G
78130-80788,G,Wyndham,Wyndham Clark,Clark,53.79583231608073,24,7400,,,,,,,,,G
78130-79351,G,Laurie,Laurie Canter,Canter,37,1,7400,,,,,,,,,G
78130-77859,G,Alexander,Alexander Bjork,Bjork,47.099998474121094,1,7300,,,,,,,,,G
78130-172100,G,David,David Law,Law,48.70000076293945,1,7300,,,,,,,,,G
78130-79019,G,Fabrizio,Fabrizio Zanotti,Zanotti,50.400001525878906,1,7300,,,,,,,,,G
78130-118505,G,Kazuki,Kazuki Higa,Higa,35.400001525878906,1,7300,,,,,,,,,G
78130-155188,G,Richard,Richard Mansell,Mansell,4.099999904632568,1,7200,,,,,,,,,G
78130-78151,G,Matthew,Matthew Griffin,Griffin,,,7200,,,,,,,,,G
78130-78943,G,Scott,Scott Vincent,Vincent,29.5,1,7200,,,,,,,,,G
78130-78781,G,Jason,Jason Scrivener,Scrivener,65,1,7200,,,,,,,,,G
78130-78337,G,Chan,Chan Kim,Kim,45.8125,8,7100,,,,,,,,,G
78130-78454,G,Zander,Zander Lombard,Lombard,,,7100,,,,,,,,,G
78130-171978,G,David,David Carey,Carey,,,7100,,,,,,,,,G
78130-171979,G,Ronan,Ronan Mullarney,Mullarney,,,7100,,,,,,,,,G
78130-166403,G,Aaron,Aaron Jarvis,Jarvis,6.599999904632568,1,7000,,,,,,,,,G
78130-78347,G,Sihwan,Sihwan Kim,Kim,,,7000,,,,,,,,,G
78130-171567,G,Yuto,Yuto Katsuragawa,Katsuragawa,,,7000,,,,,,,,,G
