Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
77734-107350,G,Brandon,Brandon Wu,Wu,50.17368356805099,19,8200,,,,,,,,,G
77734-78268,G,Stephan,Stephan Jaeger,Jaeger,45.743477199388586,23,8200,,,,,,,,,G
77734-77934,G,Kevin,Kevin Chappell,Chappell,49.07692307692308,13,8100,,,,,,,,,G
77734-78751,G,Sam,Sam Ryder,Ryder,49.67825980808424,23,8100,,,,,,,,,G
77734-82357,G,Greyson,Greyson Sigg,Sigg,53.69545676491477,22,8100,,,,,,,,,G
77734-78582,G,Grayson,Grayson Murray,Murray,39.26666768391927,6,8100,,,,,,,,,G
77734-78118,G,Brice,Brice Garnett,Garnett,46.87727494673295,22,8000,,,,,,,,,G
77734-77894,G,Scott,Scott Brown,Brown,52.5,8,8000,,,,,,,,,G
77734-77897,G,Wesley,Wesley Bryan,Bryan,49.116668701171875,12,8000,,,,,,,,,G
77734-116964,G,Harry,Harry Higgs,Higgs,42.2304342518682,23,8000,,,,,,,,,G
77734-78600,G,Henrik,Henrik Norlander,Norlander,43.92000122070313,20,7900,,,,,,,,,G
77734-78856,G,Robert,Robert Streb,Streb,47.24091131036932,22,7900,,,,,,,,,G
77734-78782,G,Chase,Chase Seiffert,Seiffert,51.083333333333336,12,7900,,,,,,,,,G
77734-116974,G,Vince,Vince Whaley,Whaley,55.47727272727273,22,7900,,,,,,,,,G
77734-78606,G,Sean,Sean O'Hair,O'Hair,53.25714111328125,7,7800,,,,,,,,,G
77734-78862,G,Brian,Brian Stuard,Stuard,43.7962962962963,27,7800,,,,,,,,,G
77734-78491,G,Peter,Peter Malnati,Malnati,55.32307786207933,26,7800,,,,,,,,,G
77734-78576,G,Trey,Trey Mullinax,Mullinax,48.38095238095238,21,7800,,,,,,,,,G
77734-78378,G,Kelly,Kelly Kraft,Kraft,41.47999877929688,20,7700,,,,,,,,,G
77734-78890,G,Vaughn,Vaughn Taylor,Taylor,52.54615196814904,13,7700,,,,,,,,,G
77734-77905,G,Jonathan,Jonathan Byrd,Byrd,49.26154033954327,13,7700,,,,,,,,,G
77734-79537,G,Justin,Justin Lower,Lower,50.42941104664522,17,7700,,,,,,,,,G
77734-77832,G,Paul,Paul Barjon,Barjon,47.23158023231908,19,7600,,,,,,,,,G
77734-78662,G,Cameron,Cameron Percy,Percy,51.85,10,7600,,,,,,,,,G
77734-78162,G,Bill,Bill Haas,Haas,53.2875010172526,24,7600,,,,,,,,,G
77734-78811,G,Roger,Roger Sloan,Sloan,39.1478271484375,23,7600,,,,,,,,,G
77734-78366,G,Satoshi,Satoshi Kodaira,Kodaira,45.55833435058594,12,7500,,,,,,,,,G
77734-77967,G,Austin,Austin Cook,Cook,43.894443088107636,18,7500,,,,,,,,,G
77734-78528,G,William,William McGirt,McGirt,43.34615384615385,13,7500,,,,,,,,,G
77734-78310,G,Sung,Sung Kang,Kang,45.241668701171875,24,7500,,,,,,,,,G
77734-78122,G,Brian,Brian Gay,Gay,43.81428745814732,14,7400,,,,,,,,,G
77734-78394,G,Andrew,Andrew Landry,Landry,41.47272838245738,11,7400,,,,,,,,,G
77734-78449,G,David,David Lingmerth,Lingmerth,49.95000076293945,8,7400,,,,,,,,,G
77734-77823,G,Aaron,Aaron Baddeley,Baddeley,45.371429443359375,7,7400,,,,,,,,,G
77734-156418,G,Scott,Scott Gutschewski,Gutschewski,44.85625076293945,16,7300,,,,,,,,,G
77734-78859,G,Chris,Chris Stroud,Stroud,42.25714111328125,7,7300,,,,,,,,,G
77734-78137,G,Fabian,Fabian Gomez,Gomez,27.2,5,7300,,,,,,,,,G
77734-82360,G,Andrew,Andrew Novak,Novak,52.44000244140625,20,7300,,,,,,,,,G
77734-77867,G,Jonas,Jonas Blixt,Blixt,32.306251525878906,16,7200,,,,,,,,,G
77734-79671,G,Ben,Ben Kohles,Kohles,47.60000071806066,17,7200,,,,,,,,,G
77734-78942,G,Camilo,Camilo Villegas,Villegas,44.33157830489309,19,7200,,,,,,,,,G
77734-78809,G,David,David Skinns,Skinns,45.658824247472424,17,7200,,,,,,,,,G
77734-78598,G,Seung-Yul,Seung-Yul Noh,Noh,47.73749923706055,16,7100,,,,,,,,,G
77734-78134,G,Michael,Michael Gligic,Gligic,48.317648494944855,17,7100,,,,,,,,,G
77734-78918,G,Kevin,Kevin Tway,Tway,41.52272727272727,22,7100,,,,,,,,,G
77734-78168,G,Brandon,Brandon Hagy,Hagy,40.25,24,7100,,,,,,,,,G
77734-161547,G,Max,Max McGreevy,McGreevy,41.8,20,7000,,,,,,,,,G
77734-79626,G,Kevin,Kevin Stadler,Stadler,16.571428571428573,7,7000,,,,,,,,,G
77734-171790,G,Charles,Charles Jahn,Jahn,,,7000,,,,,,,,,G
77734-77836,G,Ricky,Ricky Barnes,Barnes,29.96666717529297,6,7000,,,,,,,,,G
77734-171788,G,Nathan,Nathan Petronzio,Petronzio,,,7000,,,,,,,,,G
77734-161549,G,Jared,Jared Wolfe,Wolfe,43.12941248276655,17,7000,,,,,,,,,G
77734-171789,G,Preston,Preston Stanley,Stanley,,,7000,,,,,,,,,G
77734-78110,G,Tommy,Tommy Gainey,Gainey,38.025001525878906,8,7000,,,,,,,,,G
77734-78120,G,Robert,Robert Garrigus,Garrigus,53.300000871930806,7,7000,,,,,,,,,G
77734-82996,G,Joshua,Joshua Creel,Creel,29.966666666666665,15,7000,,,,,,,,,G
77734-78909,G,D.J.,D.J. Trahan,Trahan,45.75,6,7000,,,,,,,,,G
77734-77887,G,Ryan,Ryan Brehm,Brehm,31.75,10,7000,,,,,,,,,G
77734-78910,G,Martin,Martin Trainer,Trainer,41.729166666666664,24,7000,,,,,,,,,G
77734-79689,G,Jim,Jim Knous,Knous,52.21666463216146,12,7000,,,,,,,,,G
77734-78920,G,Omar,Omar Uresti,Uresti,17.649999618530273,2,7000,,,,,,,,,G
77734-78927,G,Dawie,Dawie Van der Walt,Van der Walt,36.922220865885414,18,7000,,,,,,,,,G
77734-171608,G,Quinn,Quinn Riley,Riley,,,7000,,,,,,,,,G
77734-78684,G,D.A.,D.A. Points,Points,43.76666768391927,6,7000,,,,,,,,,G
77734-78946,G,Johnson,Johnson Wagner,Wagner,28.120001220703124,5,7000,,,,,,,,,G
77734-77929,G,Greg,Greg Chalmers,Chalmers,41.75,6,7000,,,,,,,,,G
77734-78959,G,Nick,Nick Watney,Watney,39.74545565518466,22,7000,,,,,,,,,G
77734-78195,G,David,David Hearn,Hearn,31.174999237060547,8,7000,,,,,,,,,G
77734-78966,G,Boo,Boo Weekley,Weekley,,,7000,,,,,,,,,G
77734-78972,G,Richy,Richy Werenski,Werenski,36.34736713610197,19,7000,,,,,,,,,G
77734-78209,G,Mark,Mark Hensby,Hensby,36.375,4,7000,,,,,,,,,G
77734-79503,G,Richard S,Richard S Johnson,Johnson,18.78333282470703,6,7000,,,,,,,,,G
77734-85136,G,Sean,Sean McCarty,McCarty,-15.5,1,7000,,,,,,,,,G
77734-77975,G,Ben,Ben Crane,Crane,32.88333384195963,6,7000,,,,,,,,,G
77734-119463,G,Patrick,Patrick Flavin,Flavin,47.885716029575896,7,7000,,,,,,,,,G
77734-77993,G,Brian,Brian Davis,Davis,21.53333282470703,3,7000,,,,,,,,,G
77734-163254,G,Ryuji,Ryuji Imada,Imada,14.966667175292969,3,7000,,,,,,,,,G
77734-78784,G,John,John Senden,Senden,33.04999923706055,2,7000,,,,,,,,,G
77734-117701,G,Dylan,Dylan Wu,Wu,43.849999321831596,18,7000,,,,,,,,,G
77734-78532,G,Parker,Parker McLachlin,McLachlin,6.8,5,7000,,,,,,,,,G
77734-78026,G,Brett,Brett Drewitt,Drewitt,39.243751525878906,16,7000,,,,,,,,,G
77734-78542,G,John,John Merrick,Merrick,16.360000610351562,5,7000,,,,,,,,,G
77734-79566,G,Chris,Chris Naegel,Naegel,31.299999237060547,1,7000,,,,,,,,,G
77734-80336,G,Seth,Seth Reeves,Reeves,42.43684146278783,19,7000,,,,,,,,,G
77734-78034,G,Jason,Jason Dufner,Dufner,31.131250381469727,16,7000,,,,,,,,,G
77734-155861,G,Luke,Luke Gannon,Gannon,-6.900000095367432,1,7000,,,,,,,,,G
77734-155106,G,Curtis,Curtis Thompson,Thompson,39.88999938964844,20,7000,,,,,,,,,G
77734-116965,G,Bo,Bo Hoag,Hoag,26.869229830228367,13,7000,,,,,,,,,G
77734-78052,G,Derek,Derek Ernst,Ernst,29.600001017252605,3,7000,,,,,,,,,G
77734-78060,G,Matt,Matt Every,Every,22.924999237060547,4,7000,,,,,,,,,G
77734-117242,G,Bo,Bo Van Pelt,Van Pelt,33.655554877387154,9,7000,,,,,,,,,G
77734-77821,G,Arjun,Arjun Atwal,Atwal,33.5,2,7000,,,,,,,,,G
77734-78844,G,Shawn,Shawn Stefani,Stefani,23.5,2,7000,,,,,,,,,G
