Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78293-101765,G,Lee,Lee Hodges,Hodges,53.116668701171875,24,8300,,,,,,,,,G
78293-78165,G,Chesson,Chesson Hadley,Hadley,49.78333536783854,24,8200,,,,,,,,,G
78293-79537,G,Justin,Justin Lower,Lower,57.17000122070313,20,8200,,,,,,,,,G
78293-78565,G,Ryan,Ryan Moore,Moore,52.44615290715144,13,8200,,,,,,,,,G
78293-79597,G,Chad,Chad Ramey,Ramey,51.104166666666664,24,8200,,,,,,,,,G
78293-78378,G,Kelly,Kelly Kraft,Kraft,44.056521208389945,23,8100,,,,,,,,,G
78293-78134,G,Michael,Michael Gligic,Gligic,55.779998779296875,20,8100,,,,,,,,,G
78293-78951,G,Matt,Matt Wallace,Wallace,38.28823673023897,17,8100,,,,,,,,,G
78293-116965,G,Bo,Bo Hoag,Hoag,34.14374923706055,16,8100,,,,,,,,,G
78293-156418,G,Scott,Scott Gutschewski,Gutschewski,46.75263093647204,19,8000,,,,,,,,,G
78293-82446,G,Doc,Doc Redman,Redman,47.88750203450521,24,8000,,,,,,,,,G
78293-78168,G,Brandon,Brandon Hagy,Hagy,42.325927734375,27,8000,,,,,,,,,G
78293-116964,G,Harry,Harry Higgs,Higgs,43.47692401592548,26,8000,,,,,,,,,G
78293-78344,G,Michael,Michael Kim,Kim,65.6500015258789,4,7900,,,,,,,,,G
78293-82360,G,Andrew,Andrew Novak,Novak,51.83182040127841,22,7900,,,,,,,,,G
78293-78782,G,Chase,Chase Seiffert,Seiffert,48.86666666666667,15,7900,,,,,,,,,G
78293-117701,G,Dylan,Dylan Wu,Wu,47.19523693266369,21,7900,,,,,,,,,G
78293-78856,G,Robert,Robert Streb,Streb,43.58,25,7800,,,,,,,,,G
78293-78606,G,Sean,Sean O'Hair,O'Hair,54.679998779296874,10,7800,,,,,,,,,G
78293-78366,G,Satoshi,Satoshi Kodaira,Kodaira,52.857142857142854,14,7800,,,,,,,,,G
78293-78491,G,Peter,Peter Malnati,Malnati,56.733335141782405,27,7800,,,,,,,,,G
78293-78600,G,Henrik,Henrik Norlander,Norlander,44.27391251273777,23,7700,,,,,,,,,G
78293-78862,G,Brian,Brian Stuard,Stuard,41.460001627604164,30,7700,,,,,,,,,G
78293-77894,G,Scott,Scott Brown,Brown,52.19090687144887,11,7700,,,,,,,,,G
78293-78500,G,Ben,Ben Martin,Martin,47.041666666666664,12,7700,,,,,,,,,G
78293-78890,G,Vaughn,Vaughn Taylor,Taylor,51.90625,16,7600,,,,,,,,,G
78293-78162,G,Bill,Bill Haas,Haas,52.60740831163194,27,7600,,,,,,,,,G
78293-77934,G,Kevin,Kevin Chappell,Chappell,51.51874923706055,16,7600,,,,,,,,,G
78293-77967,G,Austin,Austin Cook,Cook,49.471429734002974,21,7600,,,,,,,,,G
78293-78662,G,Cameron,Cameron Percy,Percy,53.53077110877404,13,7500,,,,,,,,,G
78293-78918,G,Kevin,Kevin Tway,Tway,44.2639990234375,25,7500,,,,,,,,,G
78293-77897,G,Wesley,Wesley Bryan,Bryan,44.939998372395834,15,7500,,,,,,,,,G
78293-78942,G,Camilo,Camilo Villegas,Villegas,45.02272727272727,22,7500,,,,,,,,,G
78293-78859,G,Chris,Chris Stroud,Stroud,44.629998779296876,10,7400,,,,,,,,,G
78293-79671,G,Ben,Ben Kohles,Kohles,50.38500061035156,20,7400,,,,,,,,,G
78293-77905,G,Jonathan,Jonathan Byrd,Byrd,52.38750076293945,16,7400,,,,,,,,,G
