Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78301-101765,G,Lee,Lee Hodges,Hodges,51.78333536783854,24,8300,,,,,,,,,G
78301-78165,G,Chesson,Chesson Hadley,Hadley,48.82500203450521,24,8200,,,,,,,,,G
78301-79537,G,Justin,Justin Lower,Lower,55.970001220703125,20,8200,,,,,,,,,G
78301-78565,G,Ryan,Ryan Moore,Moore,52.06153752253606,13,8200,,,,,,,,,G
78301-79597,G,Chad,Chad Ramey,Ramey,48.645833333333336,24,8200,,,,O,Undisclosed,,,,G
78301-78378,G,Kelly,Kelly Kraft,Kraft,43.27391251273777,23,8100,,,,,,,,,G
78301-78134,G,Michael,Michael Gligic,Gligic,54.879998779296876,20,8100,,,,,,,,,G
78301-78951,G,Matt,Matt Wallace,Wallace,36.994119083180145,17,8100,,,,,,,,,G
78301-116965,G,Bo,Bo Hoag,Hoag,33.89374923706055,16,8100,,,,,,,,,G
78301-156418,G,Scott,Scott Gutschewski,Gutschewski,45.75263093647204,19,8000,,,,,,,,,G
78301-82446,G,Doc,Doc Redman,Redman,47.47083536783854,24,8000,,,,,,,,,G
78301-78168,G,Brandon,Brandon Hagy,Hagy,42.14074254918982,27,8000,,,,,,,,,G
78301-116964,G,Harry,Harry Higgs,Higgs,42.63077016977164,26,8000,,,,,,,,,G
78301-78344,G,Michael,Michael Kim,Kim,62.150001525878906,4,7900,,,,O,Undisclosed,,,,G
78301-82360,G,Andrew,Andrew Novak,Novak,50.9227294921875,22,7900,,,,,,,,,G
78301-78782,G,Chase,Chase Seiffert,Seiffert,48.13333333333333,15,7900,,,,,,,,,G
78301-117701,G,Dylan,Dylan Wu,Wu,46.76666550409226,21,7900,,,,,,,,,G
78301-78856,G,Robert,Robert Streb,Streb,42.38,25,7800,,,,,,,,,G
78301-78606,G,Sean,Sean O'Hair,O'Hair,53.179998779296874,10,7800,,,,,,,,,G
78301-78366,G,Satoshi,Satoshi Kodaira,Kodaira,51.714285714285715,14,7800,,,,,,,,,G
78301-78491,G,Peter,Peter Malnati,Malnati,55.51111291956018,27,7800,,,,,,,,,G
78301-78600,G,Henrik,Henrik Norlander,Norlander,43.3608690344769,23,7700,,,,,,,,,G
78301-78862,G,Brian,Brian Stuard,Stuard,40.5933349609375,30,7700,,,,,,,,,G
78301-77894,G,Scott,Scott Brown,Brown,51.91817959872159,11,7700,,,,,,,,,G
78301-78500,G,Ben,Ben Martin,Martin,45.375,12,7700,,,,,,,,,G
78301-78890,G,Vaughn,Vaughn Taylor,Taylor,50.84375,16,7600,,,,,,,,,G
78301-78162,G,Bill,Bill Haas,Haas,52.20000090422454,27,7600,,,,,,,,,G
78301-77934,G,Kevin,Kevin Chappell,Chappell,50.76874923706055,16,7600,,,,,,,,,G
78301-77967,G,Austin,Austin Cook,Cook,48.709524972098215,21,7600,,,,,,,,,G
78301-78662,G,Cameron,Cameron Percy,Percy,51.53077110877404,13,7500,,,,,,,,,G
78301-78918,G,Kevin,Kevin Tway,Tway,43.2639990234375,25,7500,,,,,,,,,G
78301-77897,G,Wesley,Wesley Bryan,Bryan,44.4066650390625,15,7500,,,,,,,,,G
78301-78942,G,Camilo,Camilo Villegas,Villegas,44.65909090909091,22,7500,,,,,,,,,G
78301-78859,G,Chris,Chris Stroud,Stroud,44.32999877929687,10,7400,,,,,,,,,G
78301-79671,G,Ben,Ben Kohles,Kohles,49.685000610351565,20,7400,,,,,,,,,G
